# RA            DEC           ID_C   ID_OGLE                I        V        P_1         dP_1     A_1     Period   <mag>    ampl    C   Type   ID_OTHER        RA_ICRS           e_RA      DE_ICRS           e_DE      Source                Plx          e_Plx     pmRA        e_pmRA   pmDE        e_pmDE   Gmag      e_Gmag   BPmag     e_BP     RPmag     e_RP     BP-RP     Dup   NgAL   chi2AL      E(BR/RP)   Membership      
  17:00:17.09   -30:08:22.6   70     OGLE-BLG-RRLYR-41565   14.768   -99.99   0.545398    6.0E-7   0.562   0.5455   --       --      P   RRab   OU-Oph          255.07120510849   0.1487    -30.13963425812   0.0966    6029414040908612096   0.1385       0.171     -7.58       0.277    -8.917      0.172    15.6081   0.0108   16.0706   0.0378   14.8302   0.0243   1.2404    0     307    2954.57     1.351      0.0             
  17:00:18.83   -30:11:14.3   ""     OGLE-BLG-RRLYR-41573   15.756   -99.99   0.2918627   6.0E-7   0.292   ""       ""       ""      ""  RRc    -99.99          255.07848734202   0.0798    -30.18732261598   0.054     6029366899347248512   0.1761       0.0877    -6.183      0.143    -2.268      0.09     16.5156   0.0074   16.9612   0.0283   15.8681   0.0257   1.0931    0     337    321.6       1.26       0.464107108     
  17:00:32.47   -30:10:08.2   ""     OGLE-BLG-RRLYR-41627   15.066   -99.99   0.7254308   1.0E-6   0.57    ""       ""       ""      ""  RRab   -99.99          255.13527974076   0.0585    -30.16896225388   0.0385    6029366796268159744   0.1981       0.0645    1.257       0.105    -5.679      0.066    15.9351   0.013    16.5021   0.0495   15.1876   0.0333   1.3145    0     320    269.67      1.283      3.44417832E-42  
  17:00:34.78   -30:15:01.6   ""     OGLE-BLG-RRLYR-41640   17.084   -99.99   0.3169382   1.1E-6   0.251   ""       ""       ""      ""  RRc    -99.99          255.14491757032   0.1802    -30.25046420068   0.1138    6029365524978178176   -0.0446      0.1883    0.086       0.312    -3.304      0.194    17.8013   0.0068   18.2287   0.0413   17.1404   0.0231   1.0883    0     306    315.59      1.278      1.15060157E-15  
  17:00:37.66   -30:04:46.8   11     OGLE-BLG-RRLYR-41661   14.816   -99.99   0.5987854   6.0E-7   0.465   0.5982   15.921   0.749   V   RRab   NGC6266-V11     255.15693829094   0.0709    -30.07966522668   0.0485    6029369171505228672   0.6082       0.0786    -5.596      0.142    -2.159      0.087    15.6246   0.0101   16.1037   0.0377   14.9405   0.0236   1.1632    0     297    577.69      1.271      0.790873908     
  17:00:37.94   -30:04:15.6   10     OGLE-BLG-RRLYR-41662   14.897   -99.99   0.5324835   3.0E-7   0.788   0.5326   15.948   1.208   V   RRab   NGC6266-V10     255.1581081108    0.0546    -30.07100597009   0.0361    6029416141251872896   0.0567       0.0567    -4.832      0.104    -3.283      0.063    15.7085   0.0149   16.1784   0.0543   15.0305   0.0345   1.1479    0     310    323.69      1.271      0.977202564     
  17:00:46.03   -30:11:12.6   112    OGLE-BLG-RRLYR-41684   15.196   -99.99   0.5028083   4.0E-7   0.844   0.503    --       --      V   RRab   NGC6266-NV112   255.19177959157   0.0733    -30.18685648845   0.0479    6029366182207329792   0.1115       0.0727    -4.445      0.123    -2.99       0.079    16.1891   0.0135   16.8039   0.0506   15.4399   0.0349   1.364     0     320    277.25      1.266      0.968994627     
  17:00:48.52   -30:06:35.1   66     OGLE-BLG-RRLYR-41695   15.04    -99.99   0.3328025   6.0E-7   0.269   0.3338   16.011   0.420   V   RRc    NGC6266-V66     255.20218440478   0.0663    -30.10976420193   0.0432    6029368857852851200   -0.1159      0.0721    -5.01       0.12     -2.444      0.073    15.7385   0.0076   16.1529   0.0288   15.1227   0.0179   1.0301    0     282    280.85      1.252      0.962080792     
  17:00:51.05   -30:07:26.7   135    OGLE-BLG-RRLYR-41706   15.038   -99.99   0.5923421   7.0E-7   0.433   0.593    16.263   0.698   V   RRab   NGC6266-NV135   255.21269363323   0.0635    -30.12410399805   0.0424    6029368106353253120   0.0916       0.0728    -5.002      0.112    -2.489      0.074    15.9185   0.0095   16.4618   0.0369   15.1429   0.0252   1.3189    0     270    240.4       1.315      0.967018565     
  17:00:53.45   -30:08:18.0   122    OGLE-BLG-RRLYR-41715   15.199   -99.99   0.304549    5.0E-7   0.26    0.373    --       --      V   RRc    NGC6266-NV123   255.22271763545   0.07      -30.13834256055   0.047     6029368033225472256   0.098        0.0759    -5.105      0.126    -2.919      0.08     15.9255   0.0077   16.2519   0.0176   15.1876   0.0152   1.0643    0     263    318.52      1.383      0.983430314     
  17:00:58.91   -30:11:53.3   26     OGLE-BLG-RRLYR-41737   12.493   -99.99   0.371898    1.5E-6   0.734   0.3717   13.547   1.210   V   RRab   NGC6266-V26     255.24546189699   0.0388    -30.19814538387   0.0271    6029363222855169408   0.6273       0.04      -0.984      0.069    -0.432      0.046    13.2864   0.0163   13.822    0.0643   12.5681   0.0389   1.2539    0     300    225.82      1.273      2.50860672E-22  
  17:00:58.93   -30:08:36.1   72     OGLE-BLG-RRLYR-41738   15.217   -99.99   0.4675094   3.0E-6   0.652   0.468    16.286   1.053   V   RRab   NGC6266-V72     255.24556409864   0.0613    -30.143375994     0.0405    6029367758341022720   0.2541       0.0725    -5.344      0.11     -2.334      0.069    15.9979   0.0143   16.443    0.0536   15.2511   0.0332   1.1919    0     311    305.46      1.334      0.930957832     
  17:01:00.21   -30:04:48.0   222    OGLE-BLG-RRLYR-41742   15.1     -99.99   0.4602989   5.1E-6   0.676   0.46     --       --      V   RRab   NGC6266-V5      255.25088542547   0.7344    -30.0800296052    0.5041    6029368651701038976   -0.8912      0.9461    -23.548     1.285    8.568       0.86     15.5248   0.0271   15.5822   0.0531   14.2841   0.0259   1.298     0     163    27007.11    2.031      0.0             
  17:01:00.89   -30:19:21.3   54     OGLE-BLG-RRLYR-41746   15.666   -99.99   0.390853    3.8E-6   0.254   0.3859   --       --      -   RRc    NGC6266-V54     255.25368527819   0.0792    -30.32260059726   0.0526    6029361165658101248   0.1641       0.0864    -3.266      0.141    -4.509      0.088    16.3721   0.0078   16.7296   0.029    15.7596   0.0219   0.9699    0     273    261.86      1.276      1.46215416E-4   
