# ID       RA         DEC         Period   <mag>  ampl  C Type 
1        17:01:16.18 -30:06:47.0    0.5047 --     --    V RR0 
3        17:01:06.12 -30:07:01.0    0.4913 --     --    V RR0 
4        17:01:05.73 -30:07:33.7    0.5411 16.109 1.068 V RR0 
6        17:01:06.62 -30:06:20.1    0.4920 16.121 1.082 V RR0 
7        17:01:14.49 -30:04:05.3    0.5640 16.044 0.946 V RR0 
8        17:01:05.55 -30:04:12.6    0.5327 16.034 1.009 V RR0 
9        17:01:05.60 -30:03:17.3    0.5566 16.040 1.28  P RR0 
10       17:00:37.79 -30:04:17.3    0.5326 15.948 1.208 V RR0 
11       17:00:37.52 -30:04:48.4    0.5982 15.921 0.749 V RR0 
12       17:00:56.92 -30:02:22.9    0.4880 --     --    - RR0 
13       17:01:12.55 -30:06:21.0    0.3033 --     --    V RR1 
14       17:01:05.54 -30:01:44.8    0.4422 16.05  1.56  P RR0 
15       17:01:22.10 -30:01:44.8    0.6302 16.46  0.90  P RR0 
16       17:01:07.08 -30:05:20.3    0.594  15.883 1.105 V RR0 
17       17:01:11.11 -30:05:11.5    0.529  16.109 1.135 V RR0 
18       17:01:10.28 -30:05:22.1    0.5241 16.156 1.027 V RR0 
19       17:01:11.73 -30:05:48.5    0.5227 --     --    V RR0 
20       17:01:22.98 -30:04:14.2    0.4720 16.099 1.252 V RR0 
21       17:01:21.11 -30:05:33.6    0.4502 16.267 1.301 V RR0 
22       17:01:17.78 -30:06:41.6    0.5013 --     --    V RR0 
23       17:01:07.33 -30:07:30.9    0.4482 14.699 0.306 V RR0 
24       17:01:17.60 -30:07:31.8    0.5223 16.422 1.121 V RR0 
25       17:01:24.85 -30:08:05.3    0.4459 16.626 1.292 V RR0 
26       17:00:59.02 -30:11:54.7    0.3717 13.547 1.210 V RR0 
27       17:01:12.49 -30:07:53.4    0.4492 16.361 1.382 V RR0 
28       17:01:24.85 -30:06:34.0    0.4978 16.610 1.123 V RR0 
29       17:01:24.83 -30:06:38.3    0.5653 16.396 1.184 V RR0 
30       17:01:08.42 -30:09:55.0    0.3041 16.502 0.422 V RR1 
31       17:01:09.55 -30:09:16.4    0.4855 16.590 1.271 V RR0 
32       17:01:13.05 -30:09:08.9    0.5479 16.571 0.953 V RR0 
33       17:01:12.04 -30:08:51.8    0.5736 16.620 0.973 V RR0 
34       17:01:08.27 -30:06:59.6    0.5834 15.955 1.053 V RR0 
35       17:01:04.17 -30:06:31.1    0.5292 16.153 0.975 V RR0 
36       17:01:09.64 -30:04:49.0    0.6527 15.933 0.659 V RR0 
37       17:01:08.85 -30:06:47.5    0.5844 --     --    V RR0 
38       17:01:11.30 -30:07:38.6    0.7708 --     --    V RR0 
39       17:01:03.51 -30:05:56.0    0.6401 16.065 0.479 V RR0 
40       17:01:03.43 -30:06:09.4    0.3012 16.124 0.531 V RR1 
41       17:01:03.71 -30:06:14.1    0.5590 16.112 0.801 V RR0 
42       17:01:02.83 -30:06:04.8    0.2469 16.085 0.351 V RR1 
43       17:01:08.40 -30:10:17.0    0.5636 16.481 0.859 V RR0 
44       17:01:09.46 -30:08:56.2    0.4456 16.724 1.122 V RR0 
45       17:01:17.80 -30:10:00.1    0.5169 --     --    V RR0 
46       17:01:22.87 -29:58:52.2    0.5387 17.14  0.98  P RR0 
47       17:01:10.98 -30:02:48.6    0.6121 16.64  0.59  P RR0 
48       17:01:06.45 -30:09:04.7    0.7432 16.185 0.725 V RR0 
49       17:01:23.83 -30:08:37.1    0.5434 16.524 0.962 V RR0 
50       17:01:34.79 -30:07:26.2    0.5026 --     --    V RR0 
51       17:01:35.53 -30:03:39.4    0.2618 --     --    V RR1 
52       17:01:18.95 -30:09:54.5    0.5054 --     --    V RR0 
53       17:01:04.45 -30:08:35.4    0.2731 16.512 0.502 V RR1 
54       17:01:00.89 -30:19:21.1    0.3859 --     --    - RR1 
55       17:01:45.31 -30:02:08.4    0.4787 16.59  1.04  P RR0 
56       17:01:15.71 -30:04:55.0    0.5616 16.249 0.857 V RR0 
57       17:01:16.80 -30:04:52.8    0.5564 16.235 0.854 V RR0 
58       17:01:05.34 -30:06:22.5    0.481  --     0.996 V RR0 
59       17:01:22.33 -30:05:19.4    0.5791 16.250 0.871 V RR0 
60       17:01:36.59 -30:00:13.0    0.2866 16.26  0.54  P RR1 
61       17:01:29.42 -30:03:43.1    0.2660 --     --    V RR1 
62       17:01:31.31 -30:05:07.9    0.5481 16.230 0.958 V RR0 
63       17:01:21.26 -30:08:34.9    0.6421 16.547 0.612 V RR0 
64       17:01:26.79 -30:11:43.9    0.4730 16.157 0.592 V RR0 
65       17:01:06.11 -30:04:37.3    0.2523 16.086 0.397 V RR1 
66       17:00:48.48 -30:06:37.1    0.3338 16.011 0.420 V RR1 
67       17:01:43.44 -29:56:27.0    0.5649 16.63  1.02  P RR0 
68       17:01:24.11 -29:59:52.4    0.2353 16.31  0.52  P RR1 
69       17:01:22.34 -30:05:03.8    0.3136 16.249 0.417 V RR1 
70       17:00:17.08 -30:08:22.5    0.5455 --     --    P RR0 
71       17:01:06.33 -30:14:50.9    0.7045 --     --    P RR0 
72       17:00:58.97 -30:08:38.5    0.468  16.286 1.053 V RR0 
74       17:01:11.39 -30:07:47.2    0.4667 --     --    V RR0 
75       17:01:43.36 -30:02:49.3    0.3343 16.84  0.53  P RR1 
76       17:01:26.42 -29:56:21.0    0.6152 16.18  0.74  P RR0 
77       17:01:34.23 -30:06:18.9    0.319  16.427 0.405 V RR1 
78       17:01:39.02 -30:04:00.2    0.6217 16.362 0.613 V RR0 
79       17:02:06.37 -30:08:03.3    0.3190 --     --    P RR1 
80       17:01:06.26 -30:05:23.7    0.5962 16.090 0.645 V RR0 
