# RAxc                 DECxc                 ID    Period   <mag>    ampl    C   Type  
  255.3172066666666    -30.111935555555547   1     0.5047   --       --      V   RR0   
  255.2752899999999    -30.11582444444443    3     0.4913   --       --      V   RR0   
  255.2736649999999    -30.12490777777776    4     0.5411   16.109   1.068   V   RR0   
  255.27737333333334   -30.104463333333328   6     0.492    16.121   1.082   V   RR0   
  255.31016499999993   -30.067018888888867   7     0.564    16.044   0.946   V   RR0   
  255.27291499999995   -30.069046666666658   8     0.5327   16.034   1.009   V   RR0   
  255.27312333333333   -30.053685555555543   9     0.5566   16.040   1.28    P   RR0   
  255.1572483333333    -30.07035222222221    10    0.5326   15.948   1.208   V   RR0   
  255.1561233333333    -30.0789911111111     11    0.5982   15.921   0.749   V   RR0   
  255.23695666666663   -30.03857444444444    12    0.488    --       --      -   RR0   
  255.30208166666662   -30.104713333333315   13    0.3033   --       --      V   RR1   
  255.2728733333333    -30.027991111111096   14    0.4422   16.05    1.56    P   RR0   
  255.34187333333327   -30.027991111111106   15    0.6302   16.46    0.90    P   RR0   
  255.27928999999995   -30.087852222222207   16    0.594    15.883   1.105   V   RR0   
  255.29608166666668   -30.085407777777768   17    0.529    16.109   1.135   V   RR0   
  255.2926233333333    -30.088352222222216   18    0.5241   16.156   1.027   V   RR0   
  255.29866499999994   -30.09568555555555    19    0.5227   --       --      V   RR0   
  255.34553999999991   -30.069491111111113   20    0.472    16.099   1.252   V   RR0   
  255.33774833333328   -30.091546666666652   21    0.4502   16.267   1.301   V   RR0   
  255.32387333333332   -30.11043555555554    22    0.5013   --       --      V   RR0   
  255.2803316666666    -30.124129999999994   23    0.4482   14.699   0.306   V   RR0   
  255.32312333333326   -30.124379999999995   24    0.5223   16.422   1.121   V   RR0   
  255.3533316666666    -30.13368555555555    25    0.4459   16.626   1.292   V   RR0   
  255.24570666666656   -30.197407777777777   26    0.3717   13.547   1.210   V   RR0   
  255.30183166666657   -30.130379999999995   27    0.4492   16.361   1.382   V   RR0   
  255.3533316666666    -30.108324444444442   28    0.4978   16.610   1.123   V   RR0   
  255.35324833333326   -30.10951888888888    29    0.5653   16.396   1.184   V   RR0   
  255.2848733333333    -30.164157777777763   30    0.3041   16.502   0.422   V   RR1   
  255.28958166666666   -30.153435555555546   31    0.4855   16.590   1.271   V   RR0   
  255.30416499999993   -30.15135222222222    32    0.5479   16.571   0.953   V   RR0   
  255.2999566666666    -30.14660222222222    33    0.5736   16.620   0.973   V   RR0   
  255.2842483333333    -30.115435555555543   34    0.5834   15.955   1.053   V   RR0   
  255.26716499999995   -30.107518888888887   35    0.5292   16.153   0.975   V   RR0   
  255.28995666666657   -30.079157777777773   36    0.6527   15.933   0.659   V   RR0   
  255.28666499999997   -30.112074444444435   37    0.5844   --       --      V   RR0   
  255.29687333333337   -30.126268888888884   38    0.7708   --       --      V   RR0   
