OGLE-BLG-RRLYR-00039  16.019    -    0.35828330 0.00000096  7000.05845  0.261  0.161 5.473  0.000   -    0.48137130 0.00000489  7000.22559  0.113  0.000   -    0.000   -  
OGLE-BLG-RRLYR-00319  15.884    -    0.38231924 0.00000115  7000.18348  0.243  0.166 4.977  0.095 3.136  0.51267350 0.00000532  7000.49660  0.101  0.236 4.494  0.165 1.782
OGLE-BLG-RRLYR-00727  15.552 17.375  0.40405087 0.00000017  7000.36708  0.205  0.179 5.146  0.075 3.505  0.54158243 0.00000082  7000.29892  0.075  0.109 4.171  0.024   -  
OGLE-BLG-RRLYR-00978  16.141 17.712  0.43354372 0.00000030  7000.29875  0.233  0.159 5.419  0.060 4.020  0.58182113 0.00000247  7000.41729  0.059  0.116 4.761  0.025   -  
OGLE-BLG-RRLYR-01194  17.385 20.515  0.38510562 0.00000015  7000.35160  0.287  0.174 5.054  0.074 3.544  0.51606755 0.00000107  7000.13354  0.075  0.091 4.215  0.031   -  
OGLE-BLG-RRLYR-01275  18.838 20.377  0.35277710 0.00000075  7000.26380  0.229  0.188 5.100  0.137 3.164  0.47391493 0.00000248  7000.23442  0.134  0.099   -    0.079   -  
OGLE-BLG-RRLYR-01846  18.786 20.481  0.35230837 0.00000082  7000.09465  0.211  0.177 4.927  0.074   -    0.47338990 0.00000226  7000.10742  0.152  0.204 4.118  0.086   -  
OGLE-BLG-RRLYR-01988  16.173 17.547  0.32208523 0.00000058  7000.16407  0.243  0.098 5.171  0.048 4.336  0.43551960 0.00000794  7000.20935  0.054  0.063   -    0.044   -  
OGLE-BLG-RRLYR-02027  16.634 17.724  0.27861996 0.00000050  7000.01407  0.225  0.093 5.349  0.018   -    0.37990213 0.00000097  7000.05689  0.219  0.182 4.283  0.024   -  
OGLE-BLG-RRLYR-02202  17.177 18.878  0.34764727 0.00000019  7000.14353  0.199  0.143 4.988  0.070 3.557  0.46752070 0.00000069  7000.23294  0.104  0.114 3.872  0.009   -  
OGLE-BLG-RRLYR-02794  17.940 18.967  0.28567408 0.00000042  7000.10160  0.208  0.146 5.455  0.050 2.356  0.38975635 0.00000066  7000.03590  0.230  0.259 4.129  0.090 2.137
OGLE-BLG-RRLYR-03978  16.385 18.394  0.34176039 0.00000019  7000.32931  0.151  0.081 5.149  0.078 4.133  0.46135979 0.00000302  7000.24783  0.016  0.082   -    0.048   -  
OGLE-BLG-RRLYR-04254  16.536 18.091  0.26804109 0.00000025  7000.03982  0.171  0.045 4.153  0.035 3.292  0.36695912 0.00000067  7000.22121  0.116  0.033 0.840  0.047 2.470
OGLE-BLG-RRLYR-04483  18.135 18.135  0.32489811 0.00000010  7000.07398  0.270  0.104 5.126  0.071 4.183  0.43922078 0.00000055  7000.41006  0.086  0.088 4.117  0.018   -  
OGLE-BLG-RRLYR-04595  16.772 18.613  0.31988737 0.00000008  7000.08860  0.245  0.103 5.001  0.075 4.063  0.43253277 0.00000112  7000.13029  0.032  0.044   -    0.078   -  
OGLE-BLG-RRLYR-05475  15.894 17.476  0.39644331 0.00000016  7000.04977  0.245  0.195 5.033  0.078 3.379  0.53082234 0.00000177  7000.31863  0.040  0.038 4.398  0.026   -  
OGLE-BLG-RRLYR-06613  16.516 18.120  0.29501153 0.00000021  7000.12395  0.194  0.120 5.207  0.023 3.617  0.40051793 0.00000048  7000.17074  0.153  0.141 4.352  0.047 2.848
OGLE-BLG-RRLYR-06928  15.100 16.118  0.37319166 0.00000027  7000.35033  0.247  0.180 5.221  0.062 3.579  0.50116605 0.00000075  7000.15312  0.144  0.148 4.044  0.029 2.127
OGLE-BLG-RRLYR-06974  16.437 18.078  0.27553868 0.00000047  7000.26993  0.177  0.120 5.228  0.054 3.293  0.37579017 0.00000072  7000.22430  0.231  0.268 4.203  0.078 2.534
OGLE-BLG-RRLYR-07451  16.298 17.391  0.27489584 0.00000018  7000.26983  0.211  0.102 5.235  0.050 4.066  0.37555245 0.00000031  7000.32864  0.204  0.164 4.311  0.022 2.370
