OGLE-GD-RRLYR-00001  RRab  10:35:56.15 -62:38:40.7  GD2047.21.18203  CAR116.6.22422                  
OGLE-GD-RRLYR-00002  RRab  10:36:12.01 -62:34:50.0  GD2047.21.17000  CAR116.5.6364                   
OGLE-GD-RRLYR-00003  RRab  10:36:26.74 -62:31:08.4  GD2047.29.844    CAR116.5.18588                  
OGLE-GD-RRLYR-00004  RRab  10:38:02.16 -62:30:59.3  GD2047.28.846    CAR116.4.23384                  
OGLE-GD-RRLYR-00005  RRab  10:40:12.79 -61:58:24.8  GD1376.03.18401  CAR109.5.11088                  
OGLE-GD-RRLYR-00006  RRc   10:40:43.39 -62:54:47.6  GD2045.32.16644  CAR117.8.31392                  
OGLE-GD-RRLYR-00007  RRc   10:45:03.42 -61:19:24.8  GD1369.07.27459  CAR108.6.23532                  
OGLE-GD-RRLYR-00008  RRab  10:46:13.56 -61:48:11.5  GD1370.30.16440  CAR107.5.16067                  
OGLE-GD-RRLYR-00009  RRab  10:48:13.20 -61:09:32.9  GD1369.13.6689   CAR108.4.26157                  
OGLE-GD-RRLYR-00010  RRab  10:48:44.17 -61:49:02.2  GD1370.28.1489   CAR107.4.5138                   
OGLE-GD-RRLYR-00011  RRab  10:50:02.86 -61:37:08.2                   CAR105.6.13184                  
OGLE-GD-RRLYR-00012  RRab  10:50:02.99 -61:27:30.0  GD1369.03.29349  CAR105.5.13820                  
OGLE-GD-RRLYR-00013  RRab  10:51:21.30 -61:37:16.7                   CAR105.6.20536                  
OGLE-GD-RRLYR-00014  RRab  10:51:36.66 -61:51:42.9  GD1370.26.3120   CAR105.8.34617                  
OGLE-GD-RRLYR-00015  RRab  10:51:46.48 -61:08:02.1  GD1369.10.24261  CAR112.7.29174                  
OGLE-GD-RRLYR-00016  RRab  10:51:56.19 -60:48:45.9                   CAR112.5.39132                  
OGLE-GD-RRLYR-00017  RRab  10:52:44.01 -61:31:38.6  GD1369.01.3522   CAR105.3.47933                  
OGLE-GD-RRLYR-00018  RRc   10:54:20.76 -60:55:33.7  GD1369.17.127    CAR112.3.41226                  
OGLE-GD-RRLYR-00019  RRab  10:55:30.81 -60:19:25.0                   CAR114.6.34335                  
OGLE-GD-RRLYR-00020  RRc   10:57:55.65 -60:26:43.2  GD1362.13.25011  CAR114.3.1215                   
OGLE-GD-RRLYR-00021  RRab  10:59:01.19 -61:12:01.0  GD1363.28.1853   CAR113.2.7311                   
OGLE-GD-RRLYR-00022  RRab  10:59:03.23 -60:28:40.0  GD1362.12.28203  CAR114.2.38124                  
OGLE-GD-RRLYR-00023  RRab  10:59:04.66 -61:16:42.3  GD1363.28.644    CAR113.1.29610                  
OGLE-GD-RRLYR-00024  RRab  11:01:34.57 -62:01:12.3  GD1363.01.31757  CAR106.8.31812                  
OGLE-GD-RRLYR-00025  RRc   11:02:15.20 -61:56:22.2  GD1357.24.23668  CAR106.7.23022                  
OGLE-GD-RRLYR-00026  RRab  11:02:48.69 -61:41:14.5                   CAR106.6.53179                  
OGLE-GD-RRLYR-00027  RRab  11:04:35.45 -61:13:42.1  GD1356.14.9296   CAR100.7.273                    
OGLE-GD-RRLYR-00028  RRc   11:05:26.21 -61:07:48.7  GD1356.14.27781  CAR100.7.42102                  
OGLE-GD-RRLYR-00029  RRab  11:30:29.14 -60:59:48.3                   CEN106.8.44606                  
OGLE-GD-RRLYR-00030  RRab  11:33:27.65 -60:46:48.1  GD1337.06.34935  CEN106.3.21101                  
OGLE-GD-RRLYR-00031  RRab  11:53:25.99 -62:08:08.0  GD1325.05.13843  CEN107.7.11462                  
OGLE-GD-RRLYR-00032  RRab  11:55:11.80 -62:13:09.5  GD1326.27.47208  CEN107.1.43252                  
OGLE-GD-RRLYR-00033  RRab  11:56:15.85 -61:56:53.4  GD1325.03.30877  CEN107.3.33173                  
OGLE-GD-RRLYR-00034  RRab  13:16:05.40 -64:41:59.2  GD1281.29.48885  MUS100.3.86231                  
OGLE-GD-RRLYR-00035  RRab  13:23:16.59 -64:48:16.5  GD1274.14.45871  MUS101.5.5643                   
OGLE-GD-RRLYR-00036  RRc   13:23:39.12 -64:47:11.1  GD1274.14.46167  MUS101.5.11139                  
OGLE-GD-RRLYR-00037  RRc   13:24:15.74 -64:58:25.5  GD1274.14.1521   MUS101.7.92018                  
OGLE-GD-RRLYR-00038  RRab  13:24:42.48 -65:15:41.8  GD1274.05.395    MUS101.8.14532                  
OGLE-GD-RRLYR-00039  RRab  13:25:31.42 -65:08:28.4  GD1274.05.41255  MUS101.1.64446                  
OGLE-GD-RRLYR-00040  RRab  13:25:46.37 -65:15:22.5  GD1274.05.7103   MUS101.1.4968                   
OGLE-GD-RRLYR-00041  RRab  13:26:25.07 -65:14:27.1  GD1274.04.7484   MUS101.1.7785                   
OGLE-GD-RRLYR-00042  RRc   13:33:30.81 -64:13:23.7  GD1268.14.6167   CEN108.3.3961                   
OGLE-GD-RRLYR-00043  RRab  13:33:33.35 -64:00:13.3  GD1268.23.15253  CEN108.4.62011                  
OGLE-GD-RRLYR-00044  RRab  13:33:47.57 -64:31:11.7  GD1268.06.41172  CEN108.1.5586                   
OGLE-GD-RRLYR-00045  RRab  13:34:14.35 -64:15:01.3  GD1268.13.1203   CEN108.2.95994                  
OGLE-GD-RRLYR-00046  RRab  05:41:25.27 +18:09:53.4  GD2474.31.269                                    
OGLE-GD-RRLYR-00047  RRab  05:48:05.34 +18:41:01.0  GD2473.21.3219                                   
OGLE-GD-RRLYR-00048  RRc   05:48:27.72 +16:13:41.8  GD2471.21.3453                                   
OGLE-GD-RRLYR-00049  RRc   05:49:56.24 +14:42:00.3  GD2472.10.3827                                   
OGLE-GD-RRLYR-00050  RRab  05:51:45.43 +17:03:46.8  GD2465.32.3290                                   
OGLE-GD-RRLYR-00051  RRd   05:52:02.55 +13:54:10.3  GD2467.15.193                                    
OGLE-GD-RRLYR-00052  RRab  05:52:16.44 +17:09:07.0  GD2465.31.3205                                   
OGLE-GD-RRLYR-00053  RRab  05:53:18.86 +17:06:54.4  GD2465.29.3763                                   
OGLE-GD-RRLYR-00054  RRab  05:54:47.85 +11:30:12.9  GD2469.11.3264                                   
OGLE-GD-RRLYR-00055  RRab  05:55:18.69 +15:09:16.3  GD2466.09.85                                     V0913 Ori
OGLE-GD-RRLYR-00056  RRab  05:56:12.39 +16:28:27.2  GD2465.08.3375                                   QY Ori
OGLE-GD-RRLYR-00057  RRab  05:56:26.17 +17:56:29.5  GD1830.07.4070                                   
OGLE-GD-RRLYR-00058  RRab  05:56:54.99 +19:24:46.8  GD1831.14.151                                    
OGLE-GD-RRLYR-00059  RRab  06:00:01.65 +10:19:18.2  GD2462.29.2660                                   
OGLE-GD-RRLYR-00060  RRab  06:01:02.87 +14:14:57.0  GD2458.01.3386                                   
OGLE-GD-RRLYR-00061  RRab  06:01:50.16 +15:24:04.8  GD1817.25.30                                     DO Ori
OGLE-GD-RRLYR-00062  RRc   06:02:10.63 +14:16:57.0  GD2451.24.2629                                   
OGLE-GD-RRLYR-00063  RRab  06:02:44.38 +17:55:24.8  GD1826.23.249                                    
OGLE-GD-RRLYR-00064  RRab  06:03:24.56 +08:49:20.8  GD2455.06.4872                                   
OGLE-GD-RRLYR-00065  RRab  06:03:43.88 +10:37:21.0  GD2454.23.3720                                   
OGLE-GD-RRLYR-00066  RRab  06:03:45.90 +16:57:54.2  GD1822.29.161                                    
OGLE-GD-RRLYR-00067  RRab  06:04:55.14 +19:30:45.2  GD1829.27.2411                                   
OGLE-GD-RRLYR-00068  RRab  06:05:28.89 +19:10:52.3  GD1829.18.2624                                   
OGLE-GD-RRLYR-00069  RRab  06:07:00.87 +15:00:05.1  GD1812.25.2540                                   
OGLE-GD-RRLYR-00070  RRab  06:07:13.00 +12:17:50.0  GD2444.25.148                                    
OGLE-GD-RRLYR-00071  RRab  06:07:23.44 +13:59:10.2  GD1807.32.1998                                   
OGLE-GD-RRLYR-00072  RRab  06:07:47.83 +11:46:48.7  GD2444.07.3888                                   
OGLE-GD-RRLYR-00073  RRab  06:08:35.34 +12:36:21.1  GD2444.31.152                                    
